XrefEntry,Phrasal,XrefType,
praise,take apart,opposite
praise,tear into,opposite
punish,let off,opposite
quit,join up,opposite
quit,see through,opposite
raise,bring down,opposite
recall,blot out,opposite
reconnect,cut off,opposite
reconnect,cut off,opposite
reduce,blow up,opposite
reject,settle on,opposite
release,lock away,opposite
release,lock up,opposite
release,send down,opposite
resist,pander to,opposite
retain,do away with,opposite
return,make off with,opposite
rise,go down,opposite
rise,turn in,opposite
sack,sign on,opposite
sack,sign up,opposite
scatter,pile up,opposite
select,weed out,opposite
separate,bring together,opposite
slash,jack up,opposite
start,knock off,opposite
stay,clear off,opposite
stay,go away,opposite
stay,go off,opposite
stop,carry on,opposite
stop,come on,opposite
stop,go on,opposite
subtract,add up,opposite
succeed,fall down,opposite
suppress,bring out,opposite
thaw,ice over,opposite
thicken,water down,opposite
undo,do up,opposite
unfold,fold up,opposite
unite,come between,opposite
unload,load up,opposite
unlock,lock up,opposite
unplug,plug in,opposite
untie,tie up,opposite
untie,tie up,opposite
unwrap,parcel up,opposite
unwrap,wrap up,opposite
weaken,beef up,opposite
welcome,freeze out,opposite
welcome,see off,opposite
welcome,turn away,opposite
whisper,cry out,opposite
win,go down,opposite
withdraw,pay in,opposite
withdraw,put in,opposite
withhold,hand over,opposite
withhold,hand over,opposite
withhold,stump up,opposite
worsen,look up,opposite
